scenario_id,baseline_status,baseline_hard_validity_eligible,baseline_safety_failure_type,mappo_travel_time,baseline_travel_time,difference_mappo_minus_baseline,mappo_mean_completion,baseline_completion,mappo_collisions,baseline_collisions,mappo_blocked_zone_violations,baseline_blocked_zone_violations,mappo_native_sumo_safety_interventions,baseline_native_sumo_safety_interventions,baseline_unresolved_coordination_case
"[""NEGOTIATION_SCENARIO_V1"", ""intersection.net.xml:9316"", ""REGULATORY_CYCLE"", [""E_IN_0_LEFT"", ""N_IN_0_LEFT"", ""S_IN_0_LEFT"", ""W_IN_0_RIGHT""], ""ISOLATED_LDM_IN_APPROACH_ZONE_STEP_ALIGNMENT"", ""AV"", ""DE_STVO_UNCONTROLLED_4WAY_V1""]",COMPLETE,True,,605.7066666666667,196.28,409.42666666666673,1.3333333333333333,4,0,0,0,0,0,0,True
"[""NEGOTIATION_SCENARIO_V1"", ""intersection.net.xml:9316"", ""REGULATORY_CYCLE"", [""E_IN_0_LEFT"", ""N_IN_0_LEFT"", ""S_IN_0_RIGHT"", ""W_IN_0_RIGHT""], ""ISOLATED_LDM_IN_APPROACH_ZONE_STEP_ALIGNMENT"", ""AV"", ""DE_STVO_UNCONTROLLED_4WAY_V1""]",COMPLETE,True,,699.2666666666667,186.51999999999998,512.7466666666667,0.6666666666666666,4,0,0,0,0,0,0,True
"[""NEGOTIATION_SCENARIO_V1"", ""intersection.net.xml:9316"", ""REGULATORY_CYCLE"", [""E_IN_0_LEFT"", ""N_IN_0_LEFT"", ""S_IN_0_RIGHT"", ""W_IN_0_STRAIGHT""], ""ISOLATED_LDM_IN_APPROACH_ZONE_STEP_ALIGNMENT"", ""AV"", ""DE_STVO_UNCONTROLLED_4WAY_V1""]",COMPLETE,True,,800.0,191.51999999999998,608.48,0,4,0,0,0,0,0,0,True
"[""NEGOTIATION_SCENARIO_V1"", ""intersection.net.xml:9316"", ""REGULATORY_CYCLE"", [""E_IN_0_LEFT"", ""N_IN_0_LEFT"", ""S_IN_0_STRAIGHT"", ""W_IN_0_LEFT""], ""ISOLATED_LDM_IN_APPROACH_ZONE_STEP_ALIGNMENT"", ""AV"", ""DE_STVO_UNCONTROLLED_4WAY_V1""]",COMPLETE,True,,453.66666666666663,212.8,240.86666666666662,2.3333333333333335,4,0,0,0,0,0,0,True
"[""NEGOTIATION_SCENARIO_V1"", ""intersection.net.xml:9316"", ""REGULATORY_CYCLE"", [""E_IN_0_LEFT"", ""N_IN_0_LEFT"", ""S_IN_0_STRAIGHT"", ""W_IN_0_STRAIGHT""], ""ISOLATED_LDM_IN_APPROACH_ZONE_STEP_ALIGNMENT"", ""AV"", ""DE_STVO_UNCONTROLLED_4WAY_V1""]",COMPLETE,True,,602.6533333333333,209.48,393.1733333333333,1.3333333333333333,4,0,0,0,0,0,0,True
"[""NEGOTIATION_SCENARIO_V1"", ""intersection.net.xml:9316"", ""REGULATORY_CYCLE"", [""E_IN_0_LEFT"", ""N_IN_0_RIGHT"", ""S_IN_0_LEFT""], ""ISOLATED_LDM_IN_APPROACH_ZONE_STEP_ALIGNMENT"", ""AV"", ""DE_STVO_UNCONTROLLED_4WAY_V1""]",COMPLETE,True,,242.88,141.16,101.72,2.3333333333333335,3,0,0,0,0,0,0,True
"[""NEGOTIATION_SCENARIO_V1"", ""intersection.net.xml:9316"", ""REGULATORY_CYCLE"", [""E_IN_0_LEFT"", ""N_IN_0_RIGHT"", ""S_IN_0_LEFT"", ""W_IN_0_LEFT""], ""ISOLATED_LDM_IN_APPROACH_ZONE_STEP_ALIGNMENT"", ""AV"", ""DE_STVO_UNCONTROLLED_4WAY_V1""]",COMPLETE,True,,498.8933333333333,201.4,297.49333333333334,2,4,0,0,0,0,0,0,True
"[""NEGOTIATION_SCENARIO_V1"", ""intersection.net.xml:9316"", ""REGULATORY_CYCLE"", [""E_IN_0_LEFT"", ""N_IN_0_RIGHT"", ""S_IN_0_LEFT"", ""W_IN_0_STRAIGHT""], ""ISOLATED_LDM_IN_APPROACH_ZONE_STEP_ALIGNMENT"", ""AV"", ""DE_STVO_UNCONTROLLED_4WAY_V1""]",COMPLETE,True,,707.4933333333333,200.64,506.85333333333335,0.6666666666666666,4,0,0,0,0,0,0,True
"[""NEGOTIATION_SCENARIO_V1"", ""intersection.net.xml:9316"", ""REGULATORY_CYCLE"", [""E_IN_0_LEFT"", ""N_IN_0_RIGHT"", ""S_IN_0_RIGHT"", ""W_IN_0_RIGHT""], ""ISOLATED_LDM_IN_APPROACH_ZONE_STEP_ALIGNMENT"", ""AV"", ""DE_STVO_UNCONTROLLED_4WAY_V1""]",COMPLETE,True,,388.74666666666667,182.24,206.50666666666666,2.6666666666666665,4,0,0,0,0,0,0,True
"[""NEGOTIATION_SCENARIO_V1"", ""intersection.net.xml:9316"", ""REGULATORY_CYCLE"", [""E_IN_0_LEFT"", ""N_IN_0_RIGHT"", ""S_IN_0_STRAIGHT"", ""W_IN_0_STRAIGHT""], ""ISOLATED_LDM_IN_APPROACH_ZONE_STEP_ALIGNMENT"", ""AV"", ""DE_STVO_UNCONTROLLED_4WAY_V1""]",COMPLETE,True,,498.1333333333333,199.16,298.97333333333336,2,4,0,0,0,0,0,0,True
