time,scenario,vehicle_id,stage,zone,nearest_vehicle_id,conflict_vehicle_ids,merge_conflict,crossing_conflict,right_side_vehicle_present,min_eta_gap,model_decision,model_confidence,final_decision,applied_action,decision_reason,runtime_mode,collision_count
0.2,SCENARIO_2,vehicle_A,OUTSIDE_CONTEXT,DECISION,vehicle_B,[],0,0,1,0.0,NEUTRAL,0.0,WAIT,WAIT,model_not_ready,NUMPY_EXACT_LSTM,0
0.2,SCENARIO_2,vehicle_B,OUTSIDE_CONTEXT,DECISION,vehicle_A,[],0,0,0,0.0,NEUTRAL,0.0,WAIT,WAIT,model_not_ready,NUMPY_EXACT_LSTM,0
0.4,SCENARIO_2,vehicle_A,OUTSIDE_CONTEXT,DECISION,vehicle_B,[],0,0,1,0.0,NEUTRAL,0.0,WAIT,WAIT,model_not_ready,NUMPY_EXACT_LSTM,0
0.4,SCENARIO_2,vehicle_B,OUTSIDE_CONTEXT,DECISION,vehicle_A,[],0,0,0,0.0,NEUTRAL,0.0,WAIT,WAIT,model_not_ready,NUMPY_EXACT_LSTM,0
0.6,SCENARIO_2,vehicle_A,OUTSIDE_CONTEXT,DECISION,vehicle_B,[],0,0,1,0.0,NEUTRAL,0.0,WAIT,WAIT,model_not_ready,NUMPY_EXACT_LSTM,0
0.6,SCENARIO_2,vehicle_B,OUTSIDE_CONTEXT,DECISION,vehicle_A,[],0,0,0,0.0,NEUTRAL,0.0,WAIT,WAIT,model_not_ready,NUMPY_EXACT_LSTM,0
0.8,SCENARIO_2,vehicle_A,OUTSIDE_CONTEXT,DECISION,vehicle_B,[],0,0,1,0.0,NEUTRAL,0.0,WAIT,WAIT,model_not_ready,NUMPY_EXACT_LSTM,0
0.8,SCENARIO_2,vehicle_B,OUTSIDE_CONTEXT,DECISION,vehicle_A,[],0,0,0,0.0,NEUTRAL,0.0,WAIT,WAIT,model_not_ready,NUMPY_EXACT_LSTM,0
1.0,SCENARIO_2,vehicle_A,OUTSIDE_CONTEXT,DECISION,vehicle_B,[],0,0,1,0.0,NEUTRAL,0.0,WAIT,WAIT,model_not_ready,NUMPY_EXACT_LSTM,0
1.0,SCENARIO_2,vehicle_B,OUTSIDE_CONTEXT,DECISION,vehicle_A,[],0,0,0,0.0,NEUTRAL,0.0,WAIT,WAIT,model_not_ready,NUMPY_EXACT_LSTM,0
1.2,SCENARIO_2,vehicle_A,OUTSIDE_CONTEXT,DECISION,vehicle_C,[],0,0,1,0.0,NEUTRAL,0.0,WAIT,WAIT,model_not_ready,NUMPY_EXACT_LSTM,0
1.2,SCENARIO_2,vehicle_B,OUTSIDE_CONTEXT,DECISION,vehicle_C,[],0,0,1,0.0,NEUTRAL,0.0,WAIT,WAIT,model_not_ready,NUMPY_EXACT_LSTM,0
1.2,SCENARIO_2,vehicle_C,OUTSIDE_CONTEXT,DECISION,vehicle_B,[],0,0,0,1.1774211972716484,NEUTRAL,0.0,WAIT,WAIT,model_not_ready,NUMPY_EXACT_LSTM,0
1.4,SCENARIO_2,vehicle_A,OUTSIDE_CONTEXT,DECISION,vehicle_C,[],0,0,1,0.0,NEUTRAL,0.0,WAIT,WAIT,model_not_ready,NUMPY_EXACT_LSTM,0
1.4,SCENARIO_2,vehicle_B,OUTSIDE_CONTEXT,DECISION,vehicle_C,[],0,0,1,0.0,NEUTRAL,0.0,WAIT,WAIT,model_not_ready,NUMPY_EXACT_LSTM,0
1.4,SCENARIO_2,vehicle_C,OUTSIDE_CONTEXT,DECISION,vehicle_A,[],0,0,0,1.5371278476975263,NEUTRAL,0.0,WAIT,WAIT,model_not_ready,NUMPY_EXACT_LSTM,0
1.6,SCENARIO_2,vehicle_A,OUTSIDE_CONTEXT,DECISION,vehicle_C,[],0,0,1,0.0,NEUTRAL,0.0,WAIT,WAIT,model_not_ready,NUMPY_EXACT_LSTM,0
1.6,SCENARIO_2,vehicle_B,OUTSIDE_CONTEXT,DECISION,vehicle_C,[],0,0,0,0.0,NEUTRAL,0.0,WAIT,WAIT,model_not_ready,NUMPY_EXACT_LSTM,0
1.6,SCENARIO_2,vehicle_C,OUTSIDE_CONTEXT,DECISION,vehicle_A,[],0,0,1,1.979491984250732,NEUTRAL,0.0,WAIT,WAIT,model_not_ready,NUMPY_EXACT_LSTM,0
1.8,SCENARIO_2,vehicle_A,OUTSIDE_CONTEXT,DECISION,vehicle_C,[],0,0,1,0.0,NEUTRAL,0.0,WAIT,WAIT,model_not_ready,NUMPY_EXACT_LSTM,0
1.8,SCENARIO_2,vehicle_B,OUTSIDE_CONTEXT,DECISION,vehicle_A,[],0,0,0,0.0,NEUTRAL,0.0,WAIT,WAIT,model_not_ready,NUMPY_EXACT_LSTM,0
1.8,SCENARIO_2,vehicle_C,OUTSIDE_CONTEXT,DECISION,vehicle_A,[],0,0,1,2.716660709592621,NEUTRAL,0.0,WAIT,WAIT,model_not_ready,NUMPY_EXACT_LSTM,0
2.0,SCENARIO_2,vehicle_A,DECISION_FINAL,DECISION,vehicle_C,[],0,0,1,0.0,YIELD,0.7679597141389635,YIELD,YIELD,decision_final_yield,NUMPY_EXACT_LSTM,0
2.0,SCENARIO_2,vehicle_B,DECISION_FINAL,DECISION,vehicle_A,[],0,0,0,0.0,YIELD,0.7246838945620233,YIELD,YIELD,decision_final_yield,NUMPY_EXACT_LSTM,0
2.0,SCENARIO_2,vehicle_C,OUTSIDE_CONTEXT,DECISION,vehicle_A,[],0,0,1,4.2367584714295825,NEUTRAL,0.0,WAIT,WAIT,model_not_ready,NUMPY_EXACT_LSTM,0
2.2,SCENARIO_2,vehicle_A,DECISION_FINAL,DECISION,vehicle_D,[],0,0,1,0.0,YIELD,0.4891309584462751,YIELD,YIELD,decision_final_yield,NUMPY_EXACT_LSTM,0
2.2,SCENARIO_2,vehicle_B,DECISION_FINAL,DECISION,vehicle_D,[],0,0,0,0.0,GO,0.540414320493046,GO,GO,decision_final_go,NUMPY_EXACT_LSTM,0
2.2,SCENARIO_2,vehicle_C,OUTSIDE_CONTEXT,DECISION,vehicle_D,[],0,0,1,1.2638862230728278,NEUTRAL,0.0,WAIT,WAIT,model_not_ready,NUMPY_EXACT_LSTM,0
2.2,SCENARIO_2,vehicle_D,OUTSIDE_CONTEXT,DECISION,vehicle_C,[],0,0,0,1.2638862230728278,NEUTRAL,0.0,WAIT,WAIT,model_not_ready,NUMPY_EXACT_LSTM,0
2.4,SCENARIO_2,vehicle_A,DECISION_FINAL,DECISION,vehicle_D,[],0,0,1,0.6294072657764591,GO,0.43789219505661875,GO,GO,decision_final_go,NUMPY_EXACT_LSTM,0
2.4,SCENARIO_2,vehicle_B,DECISION_FINAL,DECISION,vehicle_D,[],0,0,0,0.6294072657764591,GO,0.8471629890855787,GO,GO,decision_final_go,NUMPY_EXACT_LSTM,0
2.4,SCENARIO_2,vehicle_C,OUTSIDE_CONTEXT,DECISION,vehicle_D,[],0,0,1,1.7176662567805707,NEUTRAL,0.0,WAIT,WAIT,model_not_ready,NUMPY_EXACT_LSTM,0
2.4,SCENARIO_2,vehicle_D,OUTSIDE_CONTEXT,DECISION,vehicle_C,[],0,0,0,1.7176662567805707,NEUTRAL,0.0,WAIT,WAIT,model_not_ready,NUMPY_EXACT_LSTM,0
2.6,SCENARIO_2,vehicle_A,DECISION_FINAL,DECISION,vehicle_C,[],0,0,1,0.43834835175800224,GO,0.8791127411786952,GO,GO,decision_final_go,NUMPY_EXACT_LSTM,0
2.6,SCENARIO_2,vehicle_B,DECISION_FINAL,DECISION,vehicle_D,[],0,0,1,0.43834835175800224,GO,0.9340635801729459,GO,GO,decision_final_go,NUMPY_EXACT_LSTM,0
2.6,SCENARIO_2,vehicle_C,OUTSIDE_CONTEXT,DECISION,vehicle_D,[],0,0,1,0.5387481231249689,NEUTRAL,0.0,WAIT,WAIT,model_not_ready,NUMPY_EXACT_LSTM,0
2.6,SCENARIO_2,vehicle_D,OUTSIDE_CONTEXT,DECISION,vehicle_C,[],0,0,1,2.3830647308865367,NEUTRAL,0.0,WAIT,WAIT,model_not_ready,NUMPY_EXACT_LSTM,0
2.8,SCENARIO_2,vehicle_A,DECISION_FINAL,DECISION,vehicle_C,[],0,0,1,0.3186006620060451,GO,0.9423397432061363,GO,GO,decision_final_go,NUMPY_EXACT_LSTM,0
2.8,SCENARIO_2,vehicle_B,DECISION_FINAL,DECISION,vehicle_D,[],0,0,1,0.3186006620060451,GO,0.9494178820307234,GO,GO,decision_final_go,NUMPY_EXACT_LSTM,0
2.8,SCENARIO_2,vehicle_C,OUTSIDE_CONTEXT,DECISION,vehicle_D,[],0,0,1,1.0178876327495798,NEUTRAL,0.0,WAIT,WAIT,model_not_ready,NUMPY_EXACT_LSTM,0
2.8,SCENARIO_2,vehicle_D,OUTSIDE_CONTEXT,DECISION,vehicle_C,[],0,0,1,2.4239548819046384,NEUTRAL,0.0,WAIT,WAIT,model_not_ready,NUMPY_EXACT_LSTM,0
3.0,SCENARIO_2,vehicle_A,DECISION_FINAL,DECISION,vehicle_C,[],0,0,1,0.2381677754457714,GO,0.9585243095645133,GO,GO,decision_final_go,NUMPY_EXACT_LSTM,0
3.0,SCENARIO_2,vehicle_B,DECISION_FINAL,DECISION,vehicle_D,[],0,0,1,0.2381677754457714,GO,0.946781200989188,GO,GO,decision_final_go,NUMPY_EXACT_LSTM,0
3.0,SCENARIO_2,vehicle_C,DECISION_FINAL,DECISION,vehicle_D,[],0,0,1,5.056332740924869,NEUTRAL,0.5800427299908024,WAIT,WAIT,decision_final_wait,NUMPY_EXACT_LSTM,0
3.0,SCENARIO_2,vehicle_D,OUTSIDE_CONTEXT,DECISION,vehicle_C,[],0,0,1,1.9458048483118973,NEUTRAL,0.0,WAIT,WAIT,model_not_ready,NUMPY_EXACT_LSTM,0
3.2,SCENARIO_2,vehicle_A,DECISION_FINAL,DECISION,vehicle_C,[],0,0,1,0.17054911339066825,GO,0.9610126490426405,GO,GO,decision_final_go,NUMPY_EXACT_LSTM,0
3.2,SCENARIO_2,vehicle_B,DECISION_FINAL,DECISION,vehicle_D,[],0,0,1,0.17054911339066825,GO,0.9351364858445854,GO,GO,decision_final_go,NUMPY_EXACT_LSTM,0
3.2,SCENARIO_2,vehicle_C,DECISION_FINAL,DECISION,vehicle_D,[],0,0,1,5.420588094111389,NEUTRAL,0.9531068944903561,WAIT,WAIT,decision_final_wait,NUMPY_EXACT_LSTM,0
3.2,SCENARIO_2,vehicle_D,OUTSIDE_CONTEXT,DECISION,vehicle_C,[],0,0,1,1.4436771902798906,NEUTRAL,0.0,WAIT,WAIT,model_not_ready,NUMPY_EXACT_LSTM,0
3.4,SCENARIO_2,vehicle_A,DECISION_FINAL,DECISION,vehicle_C,[],0,0,1,0.08668674956767797,GO,0.9559590638347573,GO,GO,decision_final_go,NUMPY_EXACT_LSTM,0
3.4,SCENARIO_2,vehicle_B,DECISION_FINAL,DECISION,vehicle_D,[],0,0,1,0.08668674956767797,GO,0.8951559944842904,GO,GO,decision_final_go,NUMPY_EXACT_LSTM,0
3.4,SCENARIO_2,vehicle_C,DECISION_FINAL,DECISION,vehicle_D,[],0,0,1,5.588626755685721,NEUTRAL,0.9830064145901862,WAIT,WAIT,decision_final_wait,NUMPY_EXACT_LSTM,0
3.4,SCENARIO_2,vehicle_D,OUTSIDE_CONTEXT,DECISION,vehicle_C,[],0,0,1,0.9998471232451633,NEUTRAL,0.0,WAIT,WAIT,model_not_ready,NUMPY_EXACT_LSTM,0
3.6,SCENARIO_2,vehicle_A,DECISION_FINAL,DECISION,vehicle_C,[],0,0,1,0.08674790429275214,GO,0.9343312957611409,GO,GO,decision_final_go,NUMPY_EXACT_LSTM,0
3.6,SCENARIO_2,vehicle_B,DECISION_FINAL,DECISION,vehicle_D,[],0,0,1,0.08674790429275214,GO,0.8794722978132535,GO,GO,decision_final_go,NUMPY_EXACT_LSTM,0
3.6,SCENARIO_2,vehicle_C,DECISION_FINAL,DECISION,vehicle_D,[],0,0,1,5.5861347049854135,NEUTRAL,0.9882203354988308,WAIT,WAIT,decision_final_wait,NUMPY_EXACT_LSTM,0
3.6,SCENARIO_2,vehicle_D,OUTSIDE_CONTEXT,DECISION,vehicle_C,[],0,0,1,0.33593828261374226,NEUTRAL,0.0,WAIT,WAIT,model_not_ready,NUMPY_EXACT_LSTM,0
3.8,SCENARIO_2,vehicle_A,DECISION_FINAL,DECISION,vehicle_C,[],0,0,1,0.08679876809911713,GO,0.9189910386041173,GO,GO,decision_final_go,NUMPY_EXACT_LSTM,0
3.8,SCENARIO_2,vehicle_B,DECISION_FINAL,DECISION,vehicle_D,[],0,0,1,0.08679876809911713,GO,0.8650030149000759,GO,GO,decision_final_go,NUMPY_EXACT_LSTM,0
3.8,SCENARIO_2,vehicle_C,DECISION_FINAL,DECISION,vehicle_D,[],0,0,1,4.576851033401874,NEUTRAL,0.9910953687173435,WAIT,WAIT,decision_final_wait,NUMPY_EXACT_LSTM,0
3.8,SCENARIO_2,vehicle_D,OUTSIDE_CONTEXT,DECISION,vehicle_C,[],0,0,1,1.0068245685571537,NEUTRAL,0.0,WAIT,WAIT,model_not_ready,NUMPY_EXACT_LSTM,0
4.0,SCENARIO_2,vehicle_A,DECISION_FINAL,DECISION,vehicle_C,[],0,0,1,0.08684152262839584,GO,0.8911227395618818,GO,GO,decision_final_go,NUMPY_EXACT_LSTM,0
4.0,SCENARIO_2,vehicle_B,DECISION_FINAL,DECISION,vehicle_D,[],0,0,1,0.08684152262839584,GO,0.8393970239989342,GO,GO,decision_final_go,NUMPY_EXACT_LSTM,0
4.0,SCENARIO_2,vehicle_C,DECISION_FINAL,DECISION,vehicle_D,[],0,0,1,0.9821121162972908,NEUTRAL,0.9931366910553199,WAIT,WAIT,decision_final_wait,NUMPY_EXACT_LSTM,0
4.0,SCENARIO_2,vehicle_D,DECISION_FINAL,DECISION,vehicle_C,[],0,0,1,0.9821121162972908,NEUTRAL,0.6325656700783419,WAIT,WAIT,decision_final_wait,NUMPY_EXACT_LSTM,0
4.2,SCENARIO_2,vehicle_A,DECISION_FINAL,DECISION,vehicle_C,[],0,0,1,0.08687780156072034,GO,0.8994205634467711,GO,GO,decision_final_go,NUMPY_EXACT_LSTM,0
4.2,SCENARIO_2,vehicle_B,DECISION_FINAL,DECISION,vehicle_D,[],0,0,1,0.08687780156072034,GO,0.8740986052845354,GO,GO,decision_final_go,NUMPY_EXACT_LSTM,0
4.2,SCENARIO_2,vehicle_C,DECISION_FINAL,DECISION,vehicle_D,[],0,0,1,0.982896050835695,NEUTRAL,0.9931429663082986,WAIT,WAIT,decision_final_wait,NUMPY_EXACT_LSTM,0
4.2,SCENARIO_2,vehicle_D,DECISION_FINAL,DECISION,vehicle_C,[],0,0,1,0.982896050835695,NEUTRAL,0.9620448201934478,WAIT,WAIT,decision_final_wait,NUMPY_EXACT_LSTM,0
4.4,SCENARIO_2,vehicle_A,DECISION_FINAL,DECISION,vehicle_C,[],0,0,1,0.08690884759355555,GO,0.9002135443183978,GO,GO,decision_final_go,NUMPY_EXACT_LSTM,0
4.4,SCENARIO_2,vehicle_B,THRESHOLD_MONITORING,THRESHOLD,vehicle_D,[],0,0,1,0.08690884759355555,NEUTRAL,0.8697645402860531,NEUTRAL,MAINTAIN_30KMH,threshold_awareness_collection,NUMPY_EXACT_LSTM,0
4.4,SCENARIO_2,vehicle_C,DECISION_FINAL,DECISION,vehicle_D,[],0,0,1,0.9836299240596649,NEUTRAL,0.9924968876231832,WAIT,WAIT,decision_final_wait,NUMPY_EXACT_LSTM,0
4.4,SCENARIO_2,vehicle_D,DECISION_FINAL,DECISION,vehicle_C,[],0,0,1,0.9836299240596649,NEUTRAL,0.9825776603920994,WAIT,WAIT,decision_final_wait,NUMPY_EXACT_LSTM,0
4.6,SCENARIO_2,vehicle_A,THRESHOLD_MONITORING,THRESHOLD,vehicle_C,[],0,0,1,0.2979131794647545,NEUTRAL,0.8900125432508829,NEUTRAL,MAINTAIN_30KMH,threshold_awareness_collection,NUMPY_EXACT_LSTM,0
4.6,SCENARIO_2,vehicle_B,THRESHOLD_MONITORING,THRESHOLD,vehicle_D,[],0,0,1,0.2979131794647545,NEUTRAL,0.939214609211804,NEUTRAL,MAINTAIN_30KMH,threshold_awareness_collection,NUMPY_EXACT_LSTM,0
4.6,SCENARIO_2,vehicle_C,DECISION_FINAL,DECISION,vehicle_D,[],0,0,1,0.9843178797091738,NEUTRAL,0.9905729175583275,WAIT,WAIT,decision_final_wait,NUMPY_EXACT_LSTM,0
4.6,SCENARIO_2,vehicle_D,DECISION_FINAL,DECISION,vehicle_C,[],0,0,1,0.9843178797091738,NEUTRAL,0.9872960857985433,WAIT,WAIT,decision_final_wait,NUMPY_EXACT_LSTM,0
4.8,SCENARIO_2,vehicle_A,THRESHOLD_MONITORING,THRESHOLD,vehicle_C,[],0,0,1,0.23818921953941619,NEUTRAL,0.950025976248915,NEUTRAL,MAINTAIN_30KMH,threshold_awareness_collection,NUMPY_EXACT_LSTM,0
4.8,SCENARIO_2,vehicle_B,THRESHOLD_MONITORING,THRESHOLD,vehicle_D,[],0,0,1,0.23818921953941619,NEUTRAL,0.9664728565582548,NEUTRAL,MAINTAIN_30KMH,threshold_awareness_collection,NUMPY_EXACT_LSTM,0
4.8,SCENARIO_2,vehicle_C,DECISION_FINAL,DECISION,vehicle_D,[],0,0,1,0.9849636444670917,NEUTRAL,0.9839805977232275,WAIT,WAIT,decision_final_wait,NUMPY_EXACT_LSTM,0
4.8,SCENARIO_2,vehicle_D,DECISION_FINAL,DECISION,vehicle_C,[],0,0,1,0.9849636444670917,NEUTRAL,0.9899424786747674,WAIT,WAIT,decision_final_wait,NUMPY_EXACT_LSTM,0
