zone_id,first_path_id,second_path_id,topological_relationship,conflict_type,physical_overlap,coordinated_conflict,geometry_type
,E_IN_0_LEFT,E_IN_0_LEFT,SAME_PATH,SAME_PATH,True,False,Polygon
,E_IN_0_LEFT,E_IN_0_RIGHT,DIVERGING,DIVERGING,True,False,Polygon
,E_IN_0_LEFT,E_IN_0_STRAIGHT,DIVERGING,DIVERGING,True,False,Polygon
CZ_001,E_IN_0_LEFT,N_IN_0_LEFT,POTENTIAL_CROSSING,CROSSING,True,True,Polygon
,E_IN_0_LEFT,N_IN_0_RIGHT,POTENTIAL_CROSSING,NO_CONFLICT,False,False,
CZ_002,E_IN_0_LEFT,N_IN_0_STRAIGHT,MERGING,MERGING,True,True,Polygon
CZ_003,E_IN_0_LEFT,S_IN_0_LEFT,POTENTIAL_CROSSING,CROSSING,True,True,Polygon
,E_IN_0_LEFT,S_IN_0_RIGHT,POTENTIAL_CROSSING,NO_CONFLICT,False,False,
CZ_004,E_IN_0_LEFT,S_IN_0_STRAIGHT,POTENTIAL_CROSSING,CROSSING,True,True,Polygon
CZ_005,E_IN_0_LEFT,W_IN_0_LEFT,POTENTIAL_CROSSING,CROSSING,True,True,Polygon
CZ_006,E_IN_0_LEFT,W_IN_0_RIGHT,MERGING,MERGING,True,True,Polygon
CZ_007,E_IN_0_LEFT,W_IN_0_STRAIGHT,POTENTIAL_CROSSING,CROSSING,True,True,Polygon
,E_IN_0_RIGHT,E_IN_0_RIGHT,SAME_PATH,SAME_PATH,True,False,Polygon
,E_IN_0_RIGHT,E_IN_0_STRAIGHT,DIVERGING,DIVERGING,True,False,Polygon
,E_IN_0_RIGHT,N_IN_0_LEFT,POTENTIAL_CROSSING,NO_CONFLICT,False,False,
,E_IN_0_RIGHT,N_IN_0_RIGHT,POTENTIAL_CROSSING,NO_CONFLICT,False,False,
,E_IN_0_RIGHT,N_IN_0_STRAIGHT,POTENTIAL_CROSSING,NO_CONFLICT,False,False,
,E_IN_0_RIGHT,S_IN_0_LEFT,POTENTIAL_CROSSING,NO_CONFLICT,False,False,
,E_IN_0_RIGHT,S_IN_0_RIGHT,POTENTIAL_CROSSING,NO_CONFLICT,False,False,
CZ_008,E_IN_0_RIGHT,S_IN_0_STRAIGHT,MERGING,MERGING,True,True,Polygon
CZ_009,E_IN_0_RIGHT,W_IN_0_LEFT,MERGING,MERGING,True,True,Polygon
,E_IN_0_RIGHT,W_IN_0_RIGHT,POTENTIAL_CROSSING,NO_CONFLICT,False,False,
,E_IN_0_RIGHT,W_IN_0_STRAIGHT,POTENTIAL_CROSSING,NO_CONFLICT,False,False,
,E_IN_0_STRAIGHT,E_IN_0_STRAIGHT,SAME_PATH,SAME_PATH,True,False,Polygon
CZ_010,E_IN_0_STRAIGHT,N_IN_0_LEFT,POTENTIAL_CROSSING,CROSSING,True,True,Polygon
CZ_011,E_IN_0_STRAIGHT,N_IN_0_RIGHT,MERGING,MERGING,True,True,Polygon
CZ_012,E_IN_0_STRAIGHT,N_IN_0_STRAIGHT,POTENTIAL_CROSSING,CROSSING,True,True,Polygon
