stage,true_label,predicted_label,count
PRIMARY,LEFT,LEFT,0
PRIMARY,LEFT,RIGHT,1
PRIMARY,LEFT,STRAIGHT,0
PRIMARY,LEFT,UNKNOWN,0
PRIMARY,RIGHT,LEFT,0
PRIMARY,RIGHT,RIGHT,1
PRIMARY,RIGHT,STRAIGHT,0
PRIMARY,RIGHT,UNKNOWN,0
PRIMARY,STRAIGHT,LEFT,0
PRIMARY,STRAIGHT,RIGHT,0
PRIMARY,STRAIGHT,STRAIGHT,0
PRIMARY,STRAIGHT,UNKNOWN,0
SECONDARY,LEFT,LEFT,0
SECONDARY,LEFT,RIGHT,0
SECONDARY,LEFT,STRAIGHT,0
SECONDARY,LEFT,UNKNOWN,0
SECONDARY,RIGHT,LEFT,0
SECONDARY,RIGHT,RIGHT,0
SECONDARY,RIGHT,STRAIGHT,0
SECONDARY,RIGHT,UNKNOWN,0
SECONDARY,STRAIGHT,LEFT,0
SECONDARY,STRAIGHT,RIGHT,0
SECONDARY,STRAIGHT,STRAIGHT,0
SECONDARY,STRAIGHT,UNKNOWN,0
FUSED,LEFT,LEFT,0
FUSED,LEFT,RIGHT,0
FUSED,LEFT,STRAIGHT,0
FUSED,LEFT,UNKNOWN,0
FUSED,RIGHT,LEFT,0
FUSED,RIGHT,RIGHT,0
FUSED,RIGHT,STRAIGHT,0
FUSED,RIGHT,UNKNOWN,0
FUSED,STRAIGHT,LEFT,0
FUSED,STRAIGHT,RIGHT,0
FUSED,STRAIGHT,STRAIGHT,0
FUSED,STRAIGHT,UNKNOWN,0
